Competency|Definition|L1|L2|L3|L4|L5
Solution Architect|"Kemampuan untuk merancang, mengembangkan, dan mengimplementasikan solusi Teknologi Informasi (TI) yang dapat memenuhi kebutuhan bisnis serta kemampuan untuk bekerja sama dengan berbagai pemangku kepentingan, termasuk manajer bisnis, Business Analyst, IT engineer, dan user, untuk memahami kebutuhan bisnis dan mengembangkan solusi yang memenuhi kebutuhan perusahaan. 

"|"*Mampu menjelaskan terkait konsep terkait arsitektur solusi dan memahami kerangka kerja arsitektur solusi.
*Mampu menjelaskan strategi, kondisi saat ini, dan kebutuhan perusahaan.
*Mampu menjelaskan terminologi dasar dalam arsitektur solusi TI, seperti namun tidak terbatas pada infrastruktur TI, aplikasi, dan data."|"*Menerapkan kerangka kerja arsitektur solusi dengan mempertimbangkan biaya, timeline, resource, serta rencana perusahaan.
*Melakukan testing dan validasi arsitektur solusi TI serta menyelesaikan troubleshooting sederhana di bawah supervisi.
*Mengidentifikasi persyaratan teknis solusi TI yang telah ditentukan sesuai dengan kebutuhan bisnis."|"*Melakukan pemecahan masalah sederhana dan merancang solusi TI sederhana yang dapat memenuhi kebutuhan bisnis. 
*Melakukan pengembangan solusi dari potensi-potensi risiko pada solution architect secara mandiri.
*Menerapkan solusi TI secara efektif dengan mempertimbangkan finance, resource, dan timeline yang telah ditentukan secara mandiri."|"*Memformulasikan solusi arsitektur yang kompleks untuk memenuhi kebutuhan perusahaan bersama manajer bisnis, Business Analyst, IT engineer, dan user.
*Memberikan rekomendasi dan solusi inovatif untuk permasalah kompleks dalam arsitektur solusi TI pada cakupan internal.
"|"*Mengembangkan solusi arsitektur berdasarkan tren terkini dan mengembangkan metodologi arsitektur solusi yang inovatif sehingga dapat meningkatkan keunggulan kompetitif perusahaan.
*Memberikan guidance atau masukan jika terjadi masalah atau kendala terkait solusi arsitektur yang sudah diimplementasikan kepada tim maupun tim lintas fungsi."
Frequency Spectrum Management|Kemampuan untuk memantau, mengimplementasi, dan mengelola spektrum frekuensi yang sesuai untuk dilaksanakan dengan menyediakan analisis, prosedural dan pendekatan kebijakan untuk merencanakan dan mengelola penggunaan spektrum frekuensi yang efisien dalam penyampaian bisnis/produk dan/atau layanan digital nasional dan/atau internasional. Ini termasuk pemahaman prosedur pengaturan di negara / wilayah, serta evolusinya dan interpretasi, standar nirkabel yang relevan, dan tingkat kematangan ekosistem yang relevan saat menerapkan konektivitas frekuensi.|"*Mampu menjelaskan konsep dasar seperti namun tidak terbatas pada gelombang radio, pita frekuensi, teknologi nirkabel umum, dan rentang frekuensinya.
*Mampu menjelaskan kebutuhan manajemen spektrum yang sesuai dengan regulasi yang diterapkan di organisasi, negara/wilayah."|"*Menjalankan konektivitas frekuensi sesuai prosedur yang berlaku di bawah supervisi.
*Menerapkan prosedur pengujian unit dan penelitian mengenai peraturan spektrum, prosedur perizinan, dan teknik penyelesaian interferensi serta mendokumentasikan temuannya di bawah supervisi."|"*Menerapkan sistem nirkabel serta dapat melakukan analisis interferensi yang kompleks secara mandiri.
*Menerapkan pedoman pengelolaan frequency spectrum berdasarkan pemahaman tingkat lanjut tentang propagasi radio, teori antena, dan prinsip-prinsip rekayasa spektrum secara mandiri.
*Melakukan pemecahan masalah dan troubleshoot sederhana mengenai propagasi radio, teori antena, dan prinsip-prinsip rekayasa spektrum."|"*Mengambil keputusan terkait tindakan perbaikan pada masalah frequency spectrum yang kompleks termasuk melakukan negosiasi alokasi dengan mengembangkan proses alokasi spektrum yang transparan.
*Memberikan rekomendasi yang dapat berdampak terhadap internal organisasi terkait kebijakan spektrum internasional, aspek ekonomi dan pasar, serta tren masa depan.
*Melakukan monitoring dan evaluasi serta memastikan fungsionalitas dan/atau spektrum frekuensi terpenuhi terhadap kebutuhan pelanggan."|"*Mengembangkan tata kelola optimasi implementasi spektrum frekuensi berdasarkan leading practice dengan menggunakan teknologi baru dan menganalisis dampaknya terhadap penggunaan spektrum, termasuk namun tidak terbatas pada konstelasi satelit, manajemen spektrum bertenaga AI, dan radio kognitif.
*Mengembangkan tata kelola optimal pemanfaatan spektrum berdasarkan leading practice dan kebijakan yang terkait dengan teknologi nirkabel dan konektivitas frekuensi yang digunakan untuk kedepannya.
*Berkolaborasi dengan eksternal untuk negosiasi alokasi frekuensi yang kompleks."
Network Access Wireless Deployment|Kemampuan untuk melakukan implementasi jaringan akses nirkabel nasional dan/atau internasional, termasuk Customer Premises Equipment/Network Termination Equipment (CPE/NTE), Home Broadband Wiring, Wi-Fi, 2G/3G/4G/5G, dan IP Radio Access. Kegiatan dalam Network Access Wireless Deployment meliputi menentukan kebutuhan jaringan dan merancang solusi deployment yang optimal, mengkonfigurasi perangkat jaringan nirkabel sesuai dengan desain dan spesifikasi, melakukan testing dan commissioning untuk memastikan jaringan nirkabel berfungsi dengan baik, dan melakukan dokumentasi dan handover jaringan nirkabel.|"*Mampu menjelaskan terminologi dasar Network Access Wireless Deployment dan mampu menguraikan tujuan, manfaat dan teknologi Network Access Wireless Deployment.
*Mampu menjelaskan konsep dasar jaringan nirkabel serta memahami terminologi dasar TI."|"*Menggunakan tools konfigurasi jaringan dasar seperti namun tidak terbatas pada Cisco CLI dan web interface sesuai prosedur, serta memahami konfigurasi perangkat CPE/NTE dan Home Broadband Wiring di bawah supervisi.
*Menerapkan standar IEEE 802.11 dan melakukan survey lokasi untuk instalasi perangkat Network Access Wireless Deployment di bawah supervisi."|"*Menerapkan tools konfigurasi jaringan advance seperti namun tidak terbatas pada Cisco IOS CLI dan SNMP, serta menerapkan standar 3GPP dan 5G secara mandiri.
*Melakukan survei dan site acquisition untuk deployment jaringan nirkabel secara mandiri.
*Menerapkan konfigurasi perangkat CPE/NTE dan Home Broadband Wiring, dapat melakukan testing dan commissioning jaringan nirkabel, dokumentasi dan handover jaringan nirkabel secara mandiri."|"*Berkolaborasi dengan internal perusahaan untuk menerapkan teknologi terbaru dalam Network Access Wireless Deployment, seperti namun tidak terbatas pada SDN dan NFV secara mandiri.
*Melakukan monitoring dan evaluasi untuk menghindari interferensi pada jaringan nirkabel dengan tools meliputi namun tidak terbatas pada Wireshark dan AirMagnet.
*Membuat keputusan terkait pemecahan masalah kompleks pada jaringan nirkabel dan memberikan saran solusi yang optimal."|"*Memberikan guidance terkait arsitektur jaringan nirkabel dan teknologi nirkabel yang sedang berkembang atau dikembangkan ke depannya seperti namun tidak terbatas pada nextGen berbasis AI dan inovatif berdasarkan leading practice.
*Mengembangkan tata kelola audit dan assessment terhadap jaringan nirkabel untuk melakukan antisipasi dan mitigasi terhadap risiko jaringan nirkabel di masa depan.
*Menyelaraskan dan mengintegrasikan strategi Network Access Wireless Deployment serta optimasi performa jaringan nirkabel dengan insight dari eksternal organisasi seperti namun tidak terbatas pada tren industri dan kebijakan pemerintah."
Network Access Wireless Operation|Kemampuan untuk melakukan manajemen akses jaringan nirkabel nasional dan/atau internasional, seperti namun tidak terbatas pada CPE/NTE, modem, router, dan perangkat IoT, Home Broadband Wiring, Wi-Fi, 2G/3G/4G/5G, dan IP Radio Access. Selain itu, memiliki kemampuan dalam mengelola infrastruktur jaringan nirkabel, memantau fungsi dan lalu lintas jaringan nirkabel, memastikan persyaratan jaringan nirkabel terpenuhi, mengatasi masalah jaringan nirkabel, serta menjamin konektivitas, kapasitas, keamanan, dan ketahanan jaringan nirkabel.|"*Mampu menjelaskan konsep dasar Network Access Wireless Operation, termasuk definisi, tujuan, dan manfaatnya. 
*Mampu menjelaskan jenis-jenis perangkat CPE/NTE, Home Broadband Wiring, Wi-Fi, 2G/3G/4G/5G, dan IP Radio Access. 
*Mampu menjelaskan panduan dan instruksi terkait Network Access Wireless Operation."|"*Menerapkan protokol Network Access Wireless Operation seperti namun tidak terbatas pada IEEE 802.11, DHCP, IP, 3GPP, dan IP RAN di bawah supervisi.
*Menerapkan prinsip-prinsip Network Access Wireless Operation dalam praktiknya dengan menggunakan alat bantu dasar untuk konfigurasi perangkat CPE/NTE dan Wi-Fi di bawah supervisi."|"*Melakukan troubleshooting Network Access Wireless Operation pada perangkat CPE/NTE, Home Broadband Wiring, Wi-Fi, 2G/3G/4G/5G, dan IP Radio Access secara mandiri.
*Menerapkan konfigurasi lanjutan CPE/NTE dan Wi-Fi secara mandiri.
*Menjalankan kinerja jaringan termasuk di dalamnya teknik propagasi sinyal nirkabel, jaringan mesh secara mandiri."|"*Memberikan rekomendasi terkait optimasi jaringan nirkabel untuk memastikan persyaratan QoS terpenuhi yang dapat berdampak terhadap internal organisasi.
*Melakukan monitoring dan evaluasi fungsi dan lalu lintas jaringan nirkabel, serta evaluasi performa Network Access Wireless Operation."|"*Mengembangkan tata kelola optimasi teknologi nirkabel berdasarkan leading practice seperti namun tidak terbatas pada berintegrasi dengan nextGen, penelitian di berbagai bidang seperti namun tidak terbatas pada pemotongan jaringan, dan manajemen jaringan berbasis AI.
*Menyelaraskan dan mengintegrasikan strategi dengan insight dari tren industri mengenai program Network Access Wireless Operation yang adaptif dan responsif terutama terkait network wireless.
*Memberikan guidance kepada tim dengan menganalisis tren dan perkembangan terbaru dalam Network Access Wireless Operation."
Network Access Wireline Deployment|Kemampuan untuk melakukan implementasi jaringan akses kabel nasional dan/atau internasional, seperti namun tidak terbatas pada Customer Premises Equipment/Network Termination Equipment (CPE/NTE), Fiber to the x (FTTx), fiber optik, FTTC, FTTB, FTTH Broadband, dan Customer Edge. Kegiatan dalam Network Access Wireline Deployment yaitu merancang infrastruktur jaringan kabel, menentukan jenis kabel dan teknologi yang dibutuhkan, merancang tata letak dan konfigurasi jaringan, melakukan testing dan commissioning, melakukan modifikasi pada jaringan untuk memenuhi kebutuhan pelanggan, menambahkan fitur dan fungsionalitas baru pada jaringan, serta memasang perangkat CPE/NTE, router, dan perangkat lainnya.|"*Mampu menjelaskan jaringan dan protokol seperti namun tidak terbatas pada TCP/IP, OSI dan pengetahuan dasar tentang perangkat keras jaringan seperti namun tidak terbatas pada router, switch, modem.
*Mampu menjelaskan perangkat dasar dalam Network Access Wireline Deployment, seperti namun tidak terbatas pada CPE/NTE, FTTx, dan fiber optik serta dapat menjelaskan peran dan fungsi utama.
*Mampu menjelaskan jenis kabel dan teknologi yang umum digunakan dalam Network Access Wireline Deployment."|"*Mampu menjelaskan dan menyelaraskan prinsip-prinsip keamanan jaringan dan cara menerapkannya dalam Network Access Wireline Deployment.
*Melakukan testing dan commisioning jaringan dengan menggunakan alat ukur jaringan seperti namun tidak terbatas pada multimeter dan reflectometer di bawah supervisi.
*Melakukan instalasi dan konfigurasi perangkat CPE/NTE, router, switch, dan perangkat lainnya pada jaringan akses kabel termasuk merancang dan mengimplementasikan solusi FTTx di bawah supervisi."|"*Melakukan troubleshooting dan memecahkan masalah sederhana dalam Network Access Wireline Deployment secara mandiri.
*Menerapkan pemleliharaan dalam pengembangan infrastruktur jaringan kabel untuk memenuhi kebutuhan pelanggan, termasuk FTTx, FTTC, FTTB, dan FTTH secara mandiri.
*Menerapkan protokol routing dan switching seperti namun tidak terbatas pada OSPF, BGP, VLAN secara mandiri."|"*Melakukan monitoring dan evaluasi kinerja jaringan akses kabel dan mengidentifikasi peluang untuk peningkatan.
*Mengorkestrasikan jaringan akses kabel yang komprehensif seperti namun tidak terbatas pada loopback, interferensi, dan masalah QoS."|"*Mengembangkan solusi inovatif untuk mengatasi tantangan kompleks dalam Network Access Wireline Deployment serta dapat merancang dan mengimplementasikan solusi jaringan baru sesuai tren industri.
*Mengembangkan teknologi jaringan akses kabel terbaru seperti namun tidak terbatas pada SDN & NFV berdasarkan leading practice.
*Menyelaraskan dan mengintegrasikan pedoman strategis perancangan dan perencanaan Akses Jaringan yang kompleks seperti namun tidak terbatas pada Wireline, dengan insight dari tren industri untuk menciptakan solusi/tindakan preventif ke depannya."
Network Access Wireline Operation|Kemampuan untuk melakukan manajemen akses jaringan kabel nasional dan/atau internasional, termasuk Customer Premises Equipment/Network Termination Equipment (CPE/NTE), Fiber to the x (FTTx), fiber optik, FTTC, FTTB, FTTH Broadband, dan Customer Edge. Selain itu, dapat mengelola infrastruktur jaringan kabel, memantau fungsi dan lalu lintas jaringan kabel, memastikan keamanan, ketahanan, dan pemulihan jaringan kabel, serta mengatasi masalah jaringan kabel.|"*Mampu menjelaskan terminologi dasar dalam Network Access Wireline Operation, seperti namun tidak terbatas pada CPE/NTE, FTTx, fiber optik, FTTC, FTTB, FTTH Broadband, dan Customer Edge.
*Mampu menjelaskan jenis-jenis CPE/NTE dan teknologi FTTx yang umum digunakan dan alat bantu dasar untuk konfigurasi CPE/NTE dan troubleshooting jaringan kabel.
"|"*Menerapkan prinsip-prinsip Network Access Wireline Operation dalam praktiknya dengan menggunakan alat bantu dasar untuk konfigurasi CPE/NTE dan fiber optik di bawah supervisi.
*Mengidentifikasikan protokol dan standar jaringan kabel seperti namun tidak terbatas pada Ethernet, SONET, dan SDH dengan prosedur dan arahan supervisi.
*Mampu menjelaskan dan menyelaraskan framework yang digunakan dalam Network Access Wireline Operation dengan mengidentifikasi kinerja/fungsi perangkat/infrastruktur yang digunakan dalam akses jaringan."|"*Menerapkan protokol dan standar jaringan kabel seperti namun tidak terbatas pada Ethernet, SONET, SDH, TCP/IP, dan MPLS secara mandiri.
*Melakukan konfigurasi lanjutan CPE/NTE dan fiber optik secara mandiri.
*Melakukan pemecahan masalah sederhana pada jaringan kabel untuk memitigasi permasalahan dasar dengan menggunakan platform otomatisasi jaringan seperti namun tidak terbatas pada Ansible, dan alat penilaian keamanan seperti Nessus."|"*Memformulasikan program Network Access Wireline Operation yang sesuai dengan standar praktik terbaik.
*Melakukan monitoring dan evaluasi optimasi kinerja jaringan kabel dengan menggunakan alat bantu untuk optimasi dan troubleshooting jaringan kabel."|"*Mengembangkan kebijakan berdasarkan leading practice terkait dengan kinerja Akses Jaringan seperti namun tidak terbatas pada Wireline, dan pembentukan standar industri masa depan.
*Mengembangkan program Network Access Wireline Operation yang transformatif berdasarkan leading practice.
*Mengembangkan pedoman strategis berdasarkan tren mengenai perancangan dan perencanaan akses jaringan yang kompleks seperti namun tidak terbatas pada Wireline."
Network Aggregation|Kemampuan untuk melakukan agregasi Jaringan nasional dan/atau internasional, yang mencakup tetapi tidak terbatas pada Jaringan Platform Terbuka, Jaringan transport dan agregasi jaringan yang relevan (Layer 1/Layer 2/Layer 3). Kegiatan mencakup dari desain dan perencanaan, persyaratan spesifikasi dan implementasi yang relevan dengan jenis agregasi jaringan, seperti namun tidak terbatas pada pemecahan masalah, membuat modifikasi umum / khusus untuk memastikan persyaratan jaringan / layanan terpenuhi untuk konektivitas, kapasitas, antarmuka, keamanan, ketahanan, pemulihan, dan KPI relevan lainnya yang diterapkan.|"*Mampu menjelaskan framework dan konsep dasar seperti namun tidak terbatas pada teknologi Layer 2 (contoh: Ethernet, VLAN,traffic agregasi) dan perangkat jaringan dasar (misalnya switch, firewall) yang sesuai.
*Mampu menjelaskan teknologi yang digunakan seperti teknologi Layer 2 seperti Ethernet, VLAN, traffic agregasi, perangkat jaringan dasar seperti namun tidak terbatas pada switch firewall dan alat pemantauan jaringan dasar (contoh: ping,trace route) yang digunakan pada saat ini dan untuk ke depannya.
*Mampu menjelaskan tentang Spanning Tree Protocol (STP), konsep Quality of Service (QoS), dan prinsip keamanan dasar untuk lapisan agregasi."|"*Melakukan konfigurasi switch untuk VLAN, trunking, dan pengaturan QoS dasar dengan menggunakan panduan dan di bawah supervisi.
*Melakukan riset dengan menggunakan alat dan teknik yang tepat untuk mengidentifikasi strategi yang paling sesuai dan selaras dengan arah bisnis/produk organisasi.
"|"*Melakukan pemecahan masalah berdasarkan pemahaman tingkat lanjut tentang protokol Layer 2 seperti namun tidak terbatas pada 802.1Q & LAGs, traffic shaping techniques, dan network security best practices for aggregation.
*Merancang dan menerapkan jaringan agregasi yang kompleks, dan memecahkan masalah advanced traffic flow dan masalah keamanan sesuai dengan standar dan prosedur organisasi secara mandiri."|"*Memformulasikan pedoman dalam melakukan proses optimalisasi seperti namun tidak terbatas pada otomatisasi jaringan, teknologi SDN/NFV, dan arsitektur keamanan tingkat lanjut untuk lapisan agregasi dan memastikan bahwa hal tersebut didokumentasikan dengan baik untuk peningkatan di masa depan.
*Memberikan rekomendasi yang dapat berdampak terharap internal organisasi terkait pendekatan yang paling sesuai dalam melakukan layanan dukungan yang diperlukan seperti namun tidak terbatas pada merancang solusi, modifikasi umum/khusus, manajemen bandwidth.
*Melakukan monitoring dan evaluasi proyek desain dan implementasi jaringan yang kompleks yang melibatkan agregasi dan pengembangan skrip otomatisasi.
"|"*Memberikan guidance dalam pengelolaan Jaringan Transportasi/Agregasi yang kompleks dan memastikan perbaikan berkelanjutan.
*Menyelaraskan dan mengintegrasikan strategi evolusi jaringan dengan insight dari eksternal organisasi seperti namun tidak terbatas pada tren industri dan kebijakan pemerintah untuk kebutuhan masa depan.
*Memberikan arahan strategis terhadap proses dan kebijakan yang dikembangkan/diperbarui terkait pemeliharaan kinerja optimasi Network Transport/Agregasi."
Network Architecture & Infrastructure|Kemampuan untuk merancang dan menentukan infrastruktur jaringan yang efektif dan efisien nasional dan/atau internasional, yang dapat memenuhi kebutuhan bisnis dan pengguna. Mampu mengonversi rencana jaringan menjadi framework dan merancang work-around jika dibutuhkan. Memiliki pemahaman tentang komponen fisik jaringan, konfigurasi, prinsip dan prosedur operasional, protokol komunikasi, serta konektivitas jaringan dan komunikasi antara pengguna, perangkat, aplikasi, dan internet.|"*Mampu menjelaskan konsep dasar arsitektur jaringan, termasuk komponen fisik, organisasi fungsional, konfigurasi, prinsip operasional, dan protokol komunikasi. 
*Mampu menjelaskan desain jaringan, seperti diagram jaringan sederhana (topologi) serta memahami terminologi umum terkait arsitektur jaringan, seperti namun tidak terbatas pada topologi, routing, dan switching. "|"*Menerapkan alat-alat dan teknik dasar untuk mendesain jaringan, seperti perangkat lunak simulasi jaringan sesuai dengan panduan dan di bawah supervisi.
*Melakukan konfigurasi keseluruhan jaringan, seperti namun tidak terbatas pada konfigurasi alamat IP dan routing menggunakan prinsip dan prosedur operasional jaringan di bawah supervisi.
*Melakukan riset untuk analisis persyaratan jaringan kompleks, termasuk persyaratan teknis, bisnis, dan keamanan."|"*Mendesain jaringan komprehensif yang memenuhi kebutuhan bisnis, termasuk mempertimbangkan faktor-faktor seperti namun tidak terbatas pada kinerja, skalabilitas, dan keamanan secara mandiri. 
*Menerapkan teknologi jaringan terkini, seperti cloud computing dan 5G secara mandiri.
*Merancang topologi jaringan dan mendesain komponen jaringan, seperti namun tidak terbatas pada router, switch, dan firewall serta konfigurasi keseluruhan jaringan, seperti namun tidak terbatas pada konfigurasi IP dan routing secara mandiri."|"*Memformulasikan topologi jaringan kompleks dan mendesain komponen jaringan canggih, seperti namun tidak terbatas pada jaringan virtual, cloud computing, dan Internet of Things (IoT).
*Melakukan monitoring dan evaluasi desain, komponen dan kinerja jaringan agar selaras dengan kebutuhan perusahaan dan pelanggan."|"*Mengembangkan implementasi desain dan komponen jaringan berdasarkan tren teknologi jaringan terbaru yang ada dan memberikan rekomendasi terkait desain dan implementasi jaringan kompleks. 
*Mengembangkan tata kelola berdasarkan leading practice mengenai optimasi jaringan dan memastikan jaringan memenuhi kebutuhan bisnis. 
*Menyelaraskan dan mengintegrasikan strategi jangka panjang dengan insight dari eksternal organisasi seperti namun tidak terbatas pada tren industri & kebijakan pemerintah mengenai arsitektur dan infrastruktur jaringan yang selaras dengan tujuan bisnis jaringan yang aman dan andal."
Network Automation|Kemampuan untuk menerapkan teknologi otomatisasi jaringan nasional dan/atau internasional untuk meningkatkan efisiensi, efektivitas, dan keamanan operasi jaringan. Otomatisasi jaringan adalah penggunaan teknologi untuk mengotomatiskan tugas-tugas jaringan yang sebelumnya dilakukan secara manual. Teknologi otomatisasi jaringan dapat meningkatkan efisiensi, efektivitas, dan keamanan operasi jaringan. Selain itu, memanfaatkan Software Define Network sebagai pendekatan untuk manajemen jaringan. Hal ini juga terkait teknologi otomatisasi jaringan, seperti namun tidak terbatas pada Ansible, Puppet, dan Chef. Pengetahuan tentang manajemen jaringan, termasuk pengelolaan infrastruktur jaringan, pengelolaan perangkat jaringan, dan pengelolaan lalu lintas jaringan.|"*Mampu menjelaskan framework, jenis teknik dan alat yang relevan untuk digunakan dalam merancang, mengkode dan mengimplementasikan otomatisasi jaringan di berbagai jenis domain jaringan, serta dapat menjalankan aktivitas yang telah ditentukan sebelumnya.
*Mampu menjelaskan tren pengkodean/teknologi (saat ini dan yang sedang berkembang) dalam otomatisasi jaringan."|"*Mengidentifikasi parameter input dalam pembuatan dan konfigurasi jaringan, menyelaraskan dengan blueprint jaringan.
*Mengidentifikasi komponen/fungsi/sumber daya yang diperlukan untuk pembuatan otomatisasi jaringan.
*Menggunakan alat dan teknik yang tepat untuk mengidentifikasi alat/teknik yang paling sesuai dan selaras dengan arah bisnis/produk organisasi di bawah supervisi."|"*Mengembangkan otomasi jaringan serta melakukan tindakan perbaikan sesuai arahan pada data atau informasi yang disintesis dan dianalisis mendalam di seluruh proses seperti namun tidak terbatas pada konfigurasi, fungsi, dan sumber daya yang ditemukan dalam area otomasi jaringan secara mandiri.
*Melakukan pemecahan masalah dan troubleshooting dengan mempertimbangkan langkah-langkah perbaikan di seluruh kegiatan otomasi jaringan.
*Menerapkan uji regresi untuk memverifikasi otomasi jaringan yang sedang dibuat dan berfungsi sesuai, mengunggah kode/desain ke sistem produksi dan memvalidasi fungsinya serta mulai mendokumentasikan desain dalam blueprint dan melakukan pemeliharaan secara berkala secara mandiri."|"*Memberikan rekomendasi yang dapat berdampak terhadap internal organisasi terkait pendekatan/teknik/alat yang paling sesuai untuk digunakan dalam menyelesaikan/mengkode otomatisasi jaringan.
*Melakukan monitoring dan evaluasi sepanjang proses pengembangan network automation dan memastikan fungsionalitas dan kinerja layanan terpenuhi terhadap kebutuhan pelanggan dan hasil keseluruhan dari platform/layanan/konektivitas akhir."|"*Mengembangkan tata kelola optimasi seluruh aktivitas yang terlibat dalam perancangan dan implementasi otomatisasi jaringan berdasarkan leading practice/tren.
*Memberikan guidance berkelanjutan dan memastikan hasil keseluruhan platform/layanan/konektivitas selaras dengan kebutuhan pelanggan dan bisnis.
*Memberikan arahan strategis terkait otomatisasi jaringan berdasarkan tren ke depan sekaligus memastikan keselarasan/kemampuannya dalam platform digital, layanan digital, konektivitas digital."
Network Core Backbone Deployment|Kemampuan yang diperlukan untuk melaksanakan dan mengimplementasi jaringan inti backbone nasional dan/atau internasional dengan memastikan konektivitas yang handal dan efisien antara berbagai komponen seperti namun tidak terbatas pada IP Core Network, Switch Core, dan layanan lainnya. Deployment jaringan backbone ini mencakup konfigurasi perangkat, integrasi dengan sistem yang ada, serta pengujian dan pemantauan untuk memastikan operasional yang stabil.|"*Mampu menjelaskan konsep dasar dan prinsip-prinsip jaringan core backbone, termasuk topologi, protokol komunikasi, dan persyaratan kinerja.
*Mampu menjelaskan tentang peralatan dan perangkat lunak jaringan core backbone yang umum digunakan.
*Mampu menjelaskan teknologi terkini yang berkaitan dengan jaringan core backbone, seperti namun tidak terbatas pada Software-Defined Networking (SDN) dan Network Function Virtualization (NFV)."|"*Mampu menjelaskan dan menyelaraskan tahap dari konfigurasi dan implementasi perangkat keras dan perangkat lunak seperti namun tidak terbatas pada jaringan core backbone, termasuk router, switch, dan perangkat pendukung dengan konteks pekerjaan yang digunakan.
*Mendesain rencana implementasi dasar untuk jaringan core backbone dengan mempertimbangkan teknis-teknis di bawah supervisi."|"*Merancang rencana implementasi dasar untuk jaringan core backbone dengan mempertimbangkan kebutuhan bisnis dan teknis secara mandiri.
*Melakukan pemecahan masalah yang muncul selama proses deployment dengan cepat dan efektif.
*Mengembangkan integrasi jaringan core backbone dengan sistem yang ada dalam lingkungan telekomunikasi yang kompleks secara mandiri."|"*Melakukan monitoring dan evaluasi untuk memastikan keamanan jaringan selama fase deployment dan memverifikasi fungsionalitas dan kinerja jaringan yang diimplementasikan.
*Mengorkestrasikan implementasi jaringan core backbone secara menyeluruh, termasuk koordinasi dengan tim terkait dan pemangku kepentingan."|"*Mengembangkan tata kelola optimasi jaringan core backbone secara terus-menerus berdasarkan leading practice/tren seperti namun tidak terbatas pada Artificial Intelligence (AI) untuk meningkatkan efisiensi dan keamanan.
*Menyelaraskan dan mengintegrasikan strategi deployment dengan input dari tren industri untuk teknologi baru dan inovasi dalam jaringan core backbone.
*Memberikan arahan strategis mengenai perbaikan atau peningkatan setelah tahap deployment selesai."
Network Core Backbone Operation|Kemampuan yang diperlukan untuk memelihara dan mengelola jaringan core backbone yang mencakup tetapi tidak terbatas pada IP Core Network, menyediakan Switch Core, Carrier Grade NAT untuk mendukung layanan bisnis/digital/ telekomunikasi nasional dan/atau internasional. Jaringan ini digunakan untuk menghubungkan jaringan akses, seperti jaringan akses nirkabel dan jaringan akses kabel, satu sama lain. Jaringan core backbone juga digunakan untuk menghubungkan jaringan telekomunikasi ke internet dan jaringan lain.|"*Mampu menjelaskan framework yang digunakan dan dasar-dasar Network Core backbone seperti namun tidak terbatas pada lapisan jaringan, protokol inti (misalnya IP, BGP), dan komponen backbone dasar (misalnya router, switch).
*Mampu menjelaskan tren telekomunikasi (saat ini dan yang sedang berkembang) dalam Network Core Backbone yang mencakup tetapi tidak terbatas pada IP Core Network, Menyediakan Edge Router, Customer Edge Router, Switch Core, carrier grade NAT.
*Mampu menjelaskan protokol perutean, konsep redundansi, dan praktik terbaik keamanan."|"*Melakukan konfigurasi dasar pada router/pengaturan switch, dan memantau kinerja jaringan di bawah supervisi.
*Melakukan riset terkait aplikasi-aplikasi keamanan seperti namun tidak terbatas pada IP Core Network, Customer Edge Router, Switch Core."|"*Menerapkan network backbone, serta dapat meningkatkan kinerja jaringan secara mandiri.
*Melakukan pemecahan masalah perutean dan arus lalu lintas tingkat lanjut, menyediakan Edge Router, menggunakan Advanced traffic analysis tools dan mampu mengkonfigurasi alat manajemen jaringan secara mandiri.
*Menganalisis kesenjangan terkait Network Core Backbone serta ilmu pendukung lainnya seperti namun tidak terbatas pada teknologi SDN/NFV, dan arsitektur keamanan jaringan lainnya."|"*Melakukan monitoring dan evaluasi terkait Network Core Backbone serta ilmu pendukung lainnya seperti teknologi SDN/NFV, dan arsitektur keamanan jaringan lainnya.
*Berkolaborasi dengan internal perusahaan untuk merancang dan mengimplementasikan proyek jaringan, mengembangkan skrip otomatisasi, dan menyusun strategi evolusi jaringan untuk kebutuhan masa depan.
*Memberikan rekomendasi yang dapat berdampak terhadap internal organisasi terkait dengan langkah-langkah perbaikan maupun solusi utama dari isu/masalah pada Network Core Backbone."|"*Membangun tata kelola optimisasi terkait proses Network Core Backbone berdasarkan tren teknologi baru seperti namun tidak terbatas pada manajemen jaringan berbasis AI, keamanan berbasis blockchain, dan jaringan kuantum.
*Mengembangkan solusi jaringan mutakhir secara ekstensif dan membentuk arsitektur jaringan masa depan berdasarkan tren industri.
*Mengembangkan pedoman berdasarkan leading practice dalam melakukan proses optimasi/pemeliharaan Network Core Backbone dan terus mengupayakan perbaikan serta memastikan terdokumentasi dengan baik untuk kegiatan peningkatan di masa mendatang."
